name_id,noun,noun_type
n123,Rideesh Diwedi,name
n124,Atish Kumar,name
n125,Kobe Bryant,name
n126,Gianna,name
n127,Jennifer Homendy,name
n128,NBA,organisation
n129,Mamba Sports Academy,organisation
n130,National Transportation Safety Board,organisation
n131,Alex Villanueva,name
n132,Philippe Lesourd,name
n133,Los Angeles Police Department,organisation
n134,John Altobelli,name
n135,Keri,name
n136,Alyssa,name
n137,Christina,name
n138,Mauser,name
n139,Mamba girls,organisation
n140,Sarah Payton,name
n141,Chester,name
n142,Kanye West,name
n143,National Basketball Association,organisation
n144,Fox News,organisation
n145,Kim Kardashian,name
n146,Kris Jenner,name
n147,Kirk Franklin,name
n148,Chance Rapper,name
n149,Vanessa,name
